# This is a data table for enstatite and qtz computed using BurnMan.
# Independent variables are entropy and pressure.
# POINTS: 181 181
# s,J/kg/K P(bar) T(K) rho,kg/m3 alpha,1/K cp,J/K/kg vp,km/s vs,km/s h,J/kg
2107.436228441828 11000.0 1082.6660356596112 3028.1479226256115 6.151097620364151e-05 1326.753700413448 4.771898985526059e-05 51884973210.22471 -13382420.766552579
2110.0324284202093 11000.0 1084.7844851301052 3027.748297755003 6.320641633162424e-05 1329.686069152576 4.77252881645225e-05 50973122111.225784 -13379607.198729774
2112.6286283985914 11000.0 1086.9020993774757 3027.3372569690123 6.517192480953125e-05 1333.0489914052393 4.77317681296845e-05 49959900957.7646 -13376788.13163889
2115.224828376973 11000.0 1089.0181107884273 3026.913018093506 6.749217312193782e-05 1336.9771700114525 4.773845800531562e-05 48820391518.534615 -13373963.568315962
2117.8210283553544 11000.0 1091.1315041258931 3026.4732239076 7.029729867785535e-05 1341.6774566151641 4.774539515450597e-05 47518260520.90516 -13371133.514047515
2120.417228333736 11000.0 1093.2408777037635 3026.0146178226037 7.380517532003945e-05 1347.4956527439047 4.7752631183248015e-05 45995692428.140594 -13368297.977141118
2123.013428312118 11000.0 1095.3441662406549 3025.5323941082274 7.842513931113328e-05 1355.0801890880462 4.776024222427513e-05 44150131573.54685 -13365456.970161393
2125.6096282905 11000.0 1097.438020461239 3025.0187393969654 8.496256019658533e-05 1365.706832610166 4.7768352016492284e-05 41806651760.30609 -13362610.512139693
2128.205828268884 11000.0 1099.516611595638 3024.4600360076142 9.464458863472103e-05 1381.3324916037502 4.777717618340393e-05 38813598996.07221 -13359758.633031396
2130.802028247288 11000.0 1101.5710804169066 3023.8356817696035 0.00010773991441938393 1402.4342166891604 4.778704109855462e-05 35474324731.02557 -13356901.382133186
2133.3982282261863 11000.0 1103.5950899743475 3023.1313527251355 0.00011984833749101072 1422.0849881591212 4.7798174521839246e-05 32937865482.24084 -13354038.835401068
2135.9944282680467 11000.0 1105.600591413211 3022.3757452095947 0.00012044616847318675 1423.4987679204964 4.7810124280222227e-05 32830561533.06795 -13351171.075035717
2138.590628182409 11000.0 1107.6279143029824 3021.663248400533 0.0001022889708637643 1394.9794188912451 4.782139772739028e-05 36785102426.915215 -13348298.114938019
2141.18682816079 11000.0 1109.7234100415371 3021.101389314265 7.301880343187756e-05 1348.6193283686148 4.7830291466251946e-05 46269337751.50631 -13345419.827901376
2143.783028139172 11000.0 1111.9005267927423 3020.7206655237374 4.778795138019193e-05 1308.6121100772923 4.7836319872015154e-05 60691052245.70684 -13342535.987151703
2146.3792281175542 11000.0 1114.1352844256908 3020.4644911148735 3.384095116655291e-05 1286.5818646772364 4.784037700991612e-05 74183687032.72124 -13339646.395654129
2148.975428095935 11000.0 1116.3969651162624 3020.2610522988275 2.8707268956073306e-05 1278.627911867148 4.784359944317257e-05 81031658533.54478 -13336750.951149026
2151.5716280743163 11000.0 1118.6688782097772 3020.0714111158713 2.7471139931277982e-05 1276.883934196238 4.784660371544305e-05 82825667615.56804 -13333849.616100727
2154.1678280526985 11000.0 1120.9459895649925 3019.883643142927 2.7303191229022634e-05 1276.8172645174009 4.784957868430065e-05 83024254328.33136 -13330942.37491418
2156.76402803108 11000.0 1123.2274004584178 3019.6955497825056 2.731688063965247e-05 1277.0329902242108 4.7852559179486706e-05 82994220075.20284 -13328029.216192972
2159.360228009461 11000.0 1125.5130179426633 3019.5069151478124 2.7347233298858416e-05 1277.278487299117 4.785554862454301e-05 82951642230.76895 -13325110.129008606
2161.9564279878437 11000.0 1127.802842543926 3019.3177319892834 2.7378080600266442e-05 1277.525790998774 4.7858547137666027e-05 82909613055.4462 -13322185.102447268
2164.552627966225 11000.0 1130.0968811195344 3019.1279987661114 2.7409002250188467e-05 1277.7730920407032 4.786155474662082e-05 82867756191.69736 -13319254.125577742
